ldong_code,univ_code,time
1111011700,U021,80
1111011700,U023,66
1111011700,U027,48
1111011700,U024,67
1111011700,U025,79
1111011700,U026,69
1111011700,U028,49
1111011700,U030,50
1111011700,U029,54
1111011700,U031,42
1111011700,U032,64
1111011700,U033,43
1111011700,U035,38
1111011700,U036,58
1111011700,U034,65
1111011700,U037,58
1111011700,U038,64
1111011700,U039,41
1111011700,U040,72
1111011700,U041,72
1111011700,U042,53
1111011700,U043,61
1111011700,U044,51
1111011700,U045,61
1111011700,V002,35
1111011700,U046,44
1111011700,V001,54
1111011700,U047,47
1111011800,C003,15
1111011800,B001,39
1111011800,C001,70
1111011800,C005,44
1111011800,C002,59
1111011800,C004,70
1111011800,C006,65
1111011800,C007,46
1111011800,C009,54
1111011800,E001,56
1111011800,C008,73
1111011800,M001,64
1111011800,P001,73
1111011800,P002,54
1111011800,U001,51
1111011800,U002,56
1111011800,U004,64
1111011800,U006,59
1111011800,U003,32
1111011800,U007,53
1111011800,U005,37
1111011800,U009,52
1111011800,U008,68
1111011800,U010,71
1111011800,U011,74
1111011800,U012,47
1111011800,U013,57
1111011800,U016,39
1111011800,U014,53
1111011800,U015,78
1111011800,U017,54
1111011800,U018,66
1111011800,U019,73
1111011800,U020,54
1111011800,U021,84
1111011800,U022,41
1111011800,U023,72
1111011800,U024,74
1111011800,U025,83
1111011800,U027,49
1111011800,U028,55
1111011800,U029,70
1111011800,U026,76
1111011800,U030,57
1111011800,U031,51
1111011800,U033,39
1111011800,U032,67
1111011800,U035,37
1111011800,U036,64
1111011800,U034,74
1111011800,U037,67
1111011800,U039,45
1111011800,U038,65
1111011800,U040,68
1111011800,U041,70
1111011800,U042,58
1111011800,U044,49
1111011800,U043,68
1111011800,U045,71
1111011800,V002,36
1111011800,U046,51
1111011800,V001,52
1111011800,U047,51
1111011900,B001,38
1111011900,C003,42
1111011900,C001,71
1111011900,C002,60
1111011900,C005,45
1111011900,C004,77
1111011900,C006,70
1111011900,C007,45
1111011900,C008,72
1111011900,C009,60
1111011900,E001,58
1111011900,M001,69
1111011900,P001,77
1111011900,P002,54
1111011900,U001,51
1111011900,U002,58
1111011900,U004,67
1111011900,U005,43
1111011900,U006,61
1111011900,U007,57
1111011900,U003,38
1111011900,U009,52
1111011900,U008,70
1111011900,U011,83
1111011900,U012,49
1111011900,U010,77
1111011900,U013,62
1111011900,U016,39
1111011900,U014,59
1111011900,U017,55
1111011900,U015,82
1111011900,U018,65
1111011900,U020,56
1111011900,U019,78
1111011900,U021,86
1111011900,U023,81
1111011900,U024,79
1111011900,U022,40
1111011900,U025,84
1111011900,U026,75
1111011900,U028,55
1111011900,U029,69
1111011900,U027,48
1111011900,U030,62
1111011900,U031,51
1111011900,U033,45
1111011900,U032,69
1111011900,U035,43
1111011900,U034,76
1111011900,U036,70
1111011900,U037,61
1111011900,U039,49
1111011900,U038,67
1111011900,U040,67
1111011900,U042,60
1111011900,U041,72
1111011900,U043,73
1111011900,U044,48
1111011900,U045,72
1111011900,U046,53
1111011900,U047,55
1111011900,V001,53
1111011900,V002,38
1111012000,B001,37
1111012000,C001,65
1111012000,C002,61
1111012000,C004,62
1111012000,C005,46
1111012000,C007,38
1111012000,C006,60
1111012000,C009,49
1111012000,C008,70
1111012000,C003,38
1111012000,E001,57
1111012000,M001,59
1111012000,P001,67
1111012000,P002,47
1111012000,U001,49
1111012000,U002,57
1111012000,U004,59
1111012000,U006,58
1111012000,U005,30
1111012000,U007,48
1111012000,U003,25
1111012000,U009,53
1111012000,U008,66
1111012000,U010,66
1111012000,U011,83
1111012000,U012,48
1111012000,U013,53
1111012000,U016,41
1111012000,U014,57
1111012000,U015,73
1111012000,U017,49
1111012000,U018,60
1111012000,U020,55
1111012000,U019,68
1111012000,U022,44
1111012000,U021,87
1111012000,U023,64
1111012000,U024,69
1111012000,U027,53
1111012000,U025,77
1111012000,U026,72
1111012000,U030,52
1111012000,U028,58
1111012000,U029,68
1111012000,U031,43
1111012000,U032,63
1111012000,U033,42
1111012000,U035,37
1111012000,U036,60
1111012000,U034,67
1111012000,U037,59
1111012000,U039,40
1111012000,U038,67
1111012000,U040,70
1111012000,U041,74
1111012000,U042,56
1111012000,U043,63
1111012000,U044,49
1111012000,U045,73
1111012000,U046,46
1111012000,V002,34
1111012000,U047,46
1111012000,V001,56
1111012100,C003,45
1111012100,B001,38
1111012100,C001,63
1111012100,C002,54
1111012100,C005,41
1111012100,C004,63
1111012100,C006,86
1111012100,C007,39
1111012100,C008,76
1111012100,C009,55
1111012100,E001,66
1111012100,M001,73
1111012100,P001,69
1111012100,P002,47
1111012100,U003,27
1111012100,U002,58
1111012100,U001,50
1111012100,U005,29
1111012100,U004,77
1111012100,U006,78
1111012100,U007,55
1111012100,U008,65
1111012100,U009,61
1111012100,U010,69
1111012100,U012,54
1111012100,U011,75
1111012100,U014,51
1111012100,U013,59
1111012100,U016,49
1111012100,U015,79
1111012100,U017,47
1111012100,U018,71
1111012100,U020,55
1111012100,U019,74
1111012100,U021,87
1111012100,U022,45
1111012100,U024,75
1111012100,U023,65
1111012100,U025,76
1111012100,U027,52
1111012100,U026,79
1111012100,U028,59
1111012100,U029,69
1111012100,U031,44
1111012100,U032,67
1111012100,U033,43
1111012100,U035,38
1111012100,U034,72
1111012100,U036,66
1111012100,U037,66
1111012100,U038,69
1111012100,U040,71
1111012100,U042,55
1111012100,U041,75
1111012100,U043,69
1111012100,U030,67
1111012100,U044,50
1111012100,U045,74
1111012100,U046,49
1111012100,V002,34
1111012100,U047,44
1111012100,V001,65
1111012200,B001,32
1111012100,U039,38
1111012200,C001,66
1111012200,C002,58
1111012200,C004,57
1111012200,C007,33
1111012200,C005,43
1111012200,C006,81
1111012200,C008,60
1111012200,C009,49
1111012200,E001,55
1111012200,C003,35
1111012200,M001,55
1111012200,P002,48
1111012200,P001,66
1111012200,U003,32
1111012200,U001,44
1111012200,U002,55
1111012200,U005,32
1111012200,U004,58
1111012200,U006,48
1111012200,U009,50
1111012200,U007,49
1111012200,U008,57
1111012200,U010,65
1111012200,U011,61
1111012200,U012,48
1111012200,U013,49
1111012200,U014,55
1111012200,U016,38
1111012200,U015,72
1111012200,U017,50
1111012200,U018,61
1111012200,U019,64
1111012200,U022,33
1111012200,U020,58
1111012200,U021,83
1111012200,U023,59
1111012200,U024,68
1111012200,U025,79
1111012200,U026,67
1111012200,U028,48
1111012200,U029,63
1111012200,U030,52
1111012200,U031,44
1111012200,U033,41
1111012200,U032,56
1111012200,U027,42
1111012200,U035,43
1111012200,U034,66
1111012200,U036,59
1111012200,U037,54
1111012200,U038,62
1111012200,U039,41
1111012200,U040,65
1111012200,U041,73
1111012200,U042,47
1111012200,U043,62
1111012200,U044,41
1111012200,U045,63
1111012200,U046,45
1111012200,V002,31
1111012200,U047,47
1111012200,V001,60
1111012300,B001,33
1111012300,C002,58
1111012300,C001,67
1111012300,C005,43
1111012300,C004,57
1111012300,C007,37
1111012300,C006,81
