adong_code,univ_code,time
1111057000,U012,48
1111057000,U013,61
1111057000,U005,36
1111057000,U016,44
1111057000,U014,45
1111057000,U015,81
1111057000,U017,52
1111057000,U018,65
1111057000,U019,77
1111057000,U020,49
1111057000,U022,40
1111057000,U023,78
1111057000,U021,85
1111057000,U024,77
1111057000,U025,86
1111057000,U027,47
1111057000,U026,83
1111057000,U028,56
1111057000,U029,61
1111057000,U030,71
1111057000,U031,51
1111057000,U032,67
1111057000,U034,75
1111057000,U036,67
1111057000,U037,67
1111057000,U035,36
1111057000,U038,83
1111057000,U033,37
1111057000,U040,65
1111057000,U042,58
1111057000,U041,71
1111057000,U043,70
1111057000,U045,72
1111057000,U044,52
1111057000,U046,52
1111057000,U039,52
1111057000,U047,46
1111057000,V001,52
1111057000,V002,37
1111058000,B001,38
1111058000,C003,34
1111058000,C002,50
1111058000,C005,36
1111058000,C001,64
1111058000,C004,71
1111058000,C006,69
1111058000,C007,45
1111058000,C009,58
1111058000,E001,59
1111058000,C008,72
1111058000,M001,70
1111058000,U003,23
1111058000,P001,72
1111058000,P002,48
1111058000,U001,49
1111058000,U002,59
1111058000,U005,28
1111058000,U004,68
1111058000,U007,58
1111058000,U006,74
1111058000,U008,71
1111058000,U009,65
1111058000,U010,65
1111058000,U011,73
1111058000,U012,50
1111058000,U013,63
1111058000,U014,47
1111058000,U015,83
1111058000,U016,40
1111058000,U017,44
1111058000,U018,65
1111058000,U019,79
1111058000,U020,51
1111058000,U022,40
1111058000,U021,82
1111058000,U023,72
1111058000,U025,83
1111058000,U027,48
1111058000,U026,73
1111058000,U028,55
1111058000,U030,61
1111058000,U031,45
1111058000,U033,36
1111058000,U034,77
1111058000,U024,80
1111058000,U036,68
1111058000,U029,65
1111058000,U037,61
1111058000,U032,62
1111058000,U038,77
1111058000,U035,34
1111058000,U040,67
1111058000,U041,73
1111058000,U042,61
1111058000,U043,71
1111058000,U044,48
1111058000,U045,70
1111058000,U046,54
1111058000,U047,51
1111058000,U039,36
1111058000,V001,55
1111058000,V002,39
1111060000,C002,60
1111060000,B001,38
1111060000,C001,85
1111060000,C004,75
1111060000,C005,48
1111060000,C007,47
1111060000,C003,44
1111060000,C006,69
1111060000,C008,76
1111060000,C009,59
1111060000,E001,58
1111060000,M001,68
1111060000,P001,80
1111060000,P002,55
1111060000,U003,45
1111060000,U002,58
1111060000,U004,66
1111060000,U001,51
1111060000,U005,51
1111060000,U007,57
1111060000,U006,61
1111060000,U009,62
1111060000,U008,70
1111060000,U010,78
1111060000,U011,81
1111060000,U012,49
1111060000,U013,61
1111060000,U014,66
1111060000,U015,82
1111060000,U016,49
1111060000,U017,58
1111060000,U022,37
1111060000,U018,62
1111060000,U019,77
1111060000,U020,60
1111060000,U021,86
1111060000,U027,30
1111060000,U023,73
1111060000,U024,78
1111060000,U025,85
1111060000,U026,83
1111060000,U028,52
1111060000,U029,63
1111060000,U030,72
1111060000,U031,60
1111060000,U032,68
1111060000,U033,52
1111060000,U035,50
1111060000,U034,75
1111060000,U036,68
1111060000,U037,70
1111060000,U038,66
1111060000,U039,61
1111060000,U040,65
1111060000,U041,72
1111060000,U043,71
1111060000,U042,59
1111060000,U044,45
1111060000,U045,67
1111060000,U046,52
1111061500,B001,26
1111060000,V001,53
1111060000,V002,38
1111060000,U047,66
1111061500,C003,40
1111061500,C002,60
1111061500,C001,82
1111061500,C004,67
1111061500,C005,46
1111061500,C007,45
1111061500,C006,66
1111061500,C008,68
1111061500,C009,57
1111061500,E001,55
1111061500,M001,61
1111061500,P002,53
1111061500,P001,77
1111061500,U002,55
1111061500,U003,39
1111061500,U005,45
