sttn_id,stop_number
4101734,90257
4101736,90256
4101740,03761
4101759,20920
4101760,41601
4101761,41602
4101762,19903
4101775,91219
4102277,93056
4102278,93055
4102279,93054
4102281,93068
4102285,93143
4102288,93049
4102290,93045
4102292,93042
4102294,93038
4102300,93070
4102304,93021
4102311,93010
4102484,75057
4102486,75019
4102488,75015
4102495,75003
4102502,76080
4102516,76070
4102517,76071
4102518,76069
4102519,76068
4102520,76067
4102521,76066
4102522,76065
4102523,76064
4102966,90275
4103127,92053
4103128,92051
4103129,92042
4103130,92043
4103133,92054
4103134,92060
4103135,92056
4103136,92055
4103137,92052
4103138,92050
4103142,92038
4103143,92126
4103145,92029
4103147,90273
4103149,92020
4103150,92024
4103151,92028
4103152,92034
4103154,93058
4103155,93050
4103156,93046
4103157,93041
4103158,93037
4103168,92144
4103169,93003
4103171,93012
4103187,92146
4103188,93002
4103245,90249
4103251,90252
4103258,90226
4103260,90053
4103261,90243
4103265,86044
4103267,89007
4103268,89009
4103269,89012
4103270,89013
4103271,89016
4103272,89018
4103273,89020
4103274,89022
4103275,89023
4103276,89026
4103277,89031
4103278,89032
4103281,89034
4103288,89025
4103289,89024
4103290,89021
4103291,89019
4103292,89017
4103293,89015
4103294,89014
4103296,89010
4103297,89008
4103298,89006
4103300,89003
4103301,89002
4103302,87056
4103303,87054
4103304,87050
4103305,87047
4103306,87037
4103307,87033
4103308,87026
4103309,87025
4103312,87013
4103313,87009
4103315,87004
4103317,87007
4103318,87014
4103319,87015
4103320,87030
4104646,80053
4104661,80069
4104663,80074
4104668,80063
4104669,80064
4104670,80065
4104671,80066
4104672,80067
4105740,74049
4105741,74048
4105743,74045
4105744,74042
4105745,74041
4105746,74040
4105747,74037
4105748,74036
4105914,91228
4105916,78007
4105917,78005
4105919,78009
4105921,78011
4105925,91231
4105944,78026
4106526,79004
4106527,79005
4106528,79006
4106529,79007
4106530,79009
4106531,79008
4106534,79015
4106535,79014
4106536,79016
4106537,79017
4106538,79018
4106539,79019
4106540,79010
4107775,87080
4107777,86006
4107780,86001
4107783,86005
4108238,75005
4108252,76073
4108253,76074
4108254,76149
4108257,76147
4108259,76169
4108300,84125
4108301,84126
4108302,84127
4108303,84123
4108304,84122
4108305,84121
